,English,Target Kinnauri,Generated Kinnauri
21,I can color my hair purple.,हाऊँ आपनै बाल लै खादरौ रांग दी सौकदौ सु।,हाऊँ आपनै बाल बैंगनी रांग कै रौबी सौकदौसु।
22,I'm all right.,हाऊँ ठीक सु।,हाऊँ ठीक सु।
23,Maybe some vegetarians can help.,शायद कुन कुन मांसऊ खदेहस्‍या मोदोद टानसाह।,शायद शाकाहारी मोदोद टानसाह।
24,My fog grew.,मांलाह डुक-डुक्यानोह आछ़ेन थियोह।,मेरोह धुंध बोडियेन थियोह।
25,"Jagtu was not a small - fat doctor, he was a licensed physician.","जगतू कुन ऐरा गैरा लौउठौ-मौटौ वैद नेथेयो,लाईसैंस वारौ वैद थेयो","जगतू लौउठौ-मौटौ वैद नाईं थेयो, हौसौ एक लैसेंस प्राप्त वैद थेयो।"
26,They are lovely lovers.,सोह तांह वाल बोलेस।,तेनोरिह वाल ओबोल साह
27,"Thinking about why not go and ask the Sahib himself, without saying anything, Rezu went to the city and sat in front of the office waiting for the Sahib.","मौनै कै हौयौए सुनच़ुविंदै किह कयूँ ना नाशिंदै साब काए पुछ़ि आऐ, नोबोलिंदै रीझू शहर नाशिंदै दौफतौर रोह सौमनै साब  लै पौखींदै नाशि बेठो।","किजु नाशिह आफुए साब काह पुछ़मे लाह सुनच़ींबै लागोस, तेह बिना किछ़ बोलेह रीझू शहर नाशिह देह दौफ्तौर रोह सोमने साब लाह पोखिह बेशोस।"
28,Then they gathered together and fed her.,तेह सऐबे मिलान मांऊविह देह आमां लाह खांऊ देंदेंसिह।,तेह तेनोरिह एकह साथ फिरिह देह तिज़ लाह खांऊ देनोस।
29,"Then the tall boy put the almond in his mouth and said,",तेका लामौ छ़ोटुवै बादाम रिह गुलि खाक कै बेज़दा बोलो,तेत्रेह ऊश्टोह छ़ेल्डुऐ आम लाह खांक केह ज़ागिह देह बोलोस
30,"To save lives from these mud - drains, Indhu decided to put a stake in Chandigarh.",हौयै चौढ़ाई नालै का ज़ान बौच़ाँबैलै सिन्धुवै चन्दीगड कै कोठी बेज़ना फैसला कियो थेयो,हौयै माटी रोह नालै का ज़ान छ़ाराँबैलै सिन्धुवै चंदीगढ कै डाल छ़ारनाई फैसला कीस।
31,So I'm going to be somewhere in some form.,होज़ रोह तांई किन नांह किन रुह केह थाकसुऐ।,होज़ रोह तांई हांऊ ऐक्याह नांह ऐक्याह रुह केह थाकसुहं।
32,Madam will not be.,मैडम नाथाकेह,मैडौम नुहुवेस।
33,"Now is not the time to walk, now is the time to fly on a rocket.",ऐबै पैदौल हाँडनाई बातै नाईं अबै ता रौकेट कै उडयाईना वौक्तस,"ऐह हांडनो रोह बाते नुवांह, बल्कि एकह रिकाटे गाश ऊडान मांईनो रोह बाते साह।"
34,I don't like math.,मालाह हिसाब पंसद नाईह।,मालाह गणित पसंद नाई।
35,Mandi 's Shivratri also seems to be very confident,मंडी रोह शुबरात्र बिह वाल लागदोह साह,मंडी रोह शिव्रत्री बिह मुलुक ब्रोसा ज़ानोह आछ़ेनस।
36,"We'll leave alone, and no one will be with us.","शोठाई ठुर्राईसा आमोर लाह ऐखले, आमोर सिह एकेह कुने नाथाकाह।",आमोरी शोठयाई देह आमोर सिह कुने बिह नाथाकेस
37,"Wow, that was fun.",वाह मौज़ाए आओ,वाह मोज़ा लागी।
38,"Throwing grass, they joined hands and stood in front of the police officer.",खौर फिकाईंदै थानेदार रह सौमनै हाथ जोडयाईंदै खौरै फिरे।,खौर फिकाईंदै दुईये हाथ जोडाईंदै ठानैदार रोह सौमनै खौरै फिरि।
39,"""Do not be a guest who is not invited; do not treat me as your guest; do not play games or let them play.",नाई आराऐंदै मैहमान; मौन्या नौमौन्या हाऊँ तैरौ मैहमान; ना खेलना ना खेलबै दिना।,"नाह मेहमान थाकनोह रोह बातेह, मुला मेहमान रोह गान बौन्याओ, नाह खेलनोह रोह बातेह, नाह तेनोर लाह खेलमे बेज़नोह च़ाँनोह।"
40,How about you?,तेरोह बारेह केह केयोह?,तेरोह बारे केह केयोह?
41,"John: I should have a login and a password, right?","जॉन: मुकाछे एकह लॉगिन और पासवर्ड हुनोह चांनोह, हुआयाह?","जॉन: मुला एक लॉगिन आ पासवॉड च़ानौ, ठीक?"
42,Let the Nirmal be ours,डेह च़ोखोह फिरोह च़ाँई।,निर्मल तामोर रोह फिरदोह साह
43,Who in this age is,होई कलयुग केह होयो कुनस,होई युग केह कुन साह
44,John: All right.,जॉन: आँह होह।,जॉन: ठिक साह।
45,You are a whore.,बोलह तुह परी साह किह कुन हुर,तुह एकह वेश्यास
46,"Girls are the rule of the whole boy, darling.",देनिह पेररोह सकल आई पुंशा पेरह रोह नियम प्‍यारा साह।,देन छ़ेल्डी पेर रोह पुरोह पुशां छ़ेल्डु पेर रोह नियम साह।
47,The hand of a man with a handkerchief is a handkerchief.,पाल्‍लोह गाछौह रोह मुठोह केह मेटानोस्‍या,हाथ केह पालासा होरिह साह
48,The Vedas have forgotten their mantra,वेद रोह मंत्र बिसरुई साह,वेद आफरोह मंत्र लाह बिसरी देह
49,So they prayed to the maiden.,तेह तेनोरिये होसो देन मांनुश काह प्रार्थान टानोस,तेह तेनोरिह देन मांनुश लाह प्रार्थना टानोस।
50,What do I do now?,ऐह किह खोटसुहं?,एबै हाऊँ कयौ कौरसु?
51,Increase interest,मुलुक ब्‍याज बोढाएन नास,चासो बोढायाओ
52,John: I already finished my studies and graduated last week.,जान: मेईयेह आऊखाए मेरोह पढाई छेकिह थियोह आई आएक सप्‍ताह फाईनल सिखुईदेह ड्रिगी मागिह साह।,जान मेईंयेह पोएले काए आफरोह पौढ़ाई पुरोह टानिह आई पिछलाह सप् ताह कैह स् कूल पास टानिह।
53,Oil your hair.,बालु कै तेल ला।,तेल लाऔ आपनै बाल।
54,This was taken up by Arjuna.,होई बाते लाह अर्जुने ज़ानोस।,होई बाते अर्जुन लाह बोलोस।
55,So it was eleven and twelve o'clock in the night.,होयोऐ राट रोह ग्यारह-बारह बाज़्याओस।,तेह राट रोह ग्यारह आई बारह बाज़्याई थियोह।
56,No one came and no one went.,ईन्छ़े कुने नाछ़िह,ना कुन आछ़ो आ ना कुन ठुरो।
57,Too bad you can be like my hero flash.,वाल मारेह तुह मेरोह हीरो फ्‍लैश रोह गान फिरिह बोलसेह।,वाल मारेह तुह मेरोह हीरो फ् लेश रोह गान फिरिह बोलसेह
58,Hundreds of panchayats and fraternity fights were fought,सैंकडो पंचैतौ आ विरादरी रै झिगरा कै शामिल फिरो,सैकडो पंचायत आई भाईचारा रोह लोराई फिरिह देह
59,Love is only once.,बेदान एकह बेरेह फिरदोस।,बेदान ताह एकह बेरेह फिरदोह साह
60,The evening is gone,नाटोह सोह बेहलाई बयाल,बयाल फिरिह देह
61,It has come to a sudden pace.,युहं तांह एकदमे फेलान मांईयेन साह।,होयो तांह अचानक फिरिह देह।
62,What are lives?,ज़िंदगी कयौस?,जिदंगी कयौस?
63,Why leave it?,हौयौ कयूँ शोठयाना?,किजु सोठाई
64,The words of Deepak Kulluvi will not matter.,दीपक 'कुल्लुवी' रोह बाते होर रोह किछ़े मोल नुदोह।,दीपक कुल्लुवी रोह बाते लाह किछ़ेह मोल नाछ़ेस।
65,Dogs are having a moment these days.,कुकुराह एकयाह रोह डाटियेन आजकालिह,कुकुरा होरिह आच़कालिह एकह दयारोह थाकदोस।
66,Tell me about yourself.,आफरोह बारेह केह बोलह?,मुला आपनौ बारे कै बोलौ।
67,He must be coming today.,हौसौ आज़ आछ़ान हुवेस।,हौसौ आज़ आछ़नास।
68,Girish said that Sumit has been in this state for four full years.,"गिरीशै बोलो कि सुमित लै हौयौ हालौत कै पुरै च़ार बौराश फिरैंदै सा,","गिरीशै बोलो किह सुमित लै हौयौ हालौत आछ़दीस, पुरी च़ार बौराश फिरी।"
69,The rats are running to the cats,मुषोह ठुराईयेन पिसीह काह,मुशां पिशिह होर काछ़ेह दोर्राऐन साह।
70,Our Earth,तामोर रोह दोरती,तामोर रोह दोरती
71,How did he leave without paying?,हैयौ कैयौ हौसौ रुपया निदींदै ठुरो,बिना रुपया दियेह केयोह ठुरोस
72,Oh! I hope so.,ओह! मांलाह आशा साह।,ओह! मुला आशास।
73,"I have skills in everything, a jack of all trades.","हाँऊ सेएब कैह ओबोल साह, सेएबे ट्रेड होर रोह एकह जैक साह।","हाँऊ सऐब बाते केह कोशिह सुह, सऐब काम होर रोह जाक।"
74,"If you leave, the results will not be good.",नांह तांह नोतिज़ा बोलोह नुहुवेस।,नाशेताह नोतिज़ा बिह बोलोह नालागेस।
75,I 'll wait,हाऊँ पौखसु,हाँऊ पोरखिह थाकसुह
76,I teach art in a middle school!,हाऊँ एक मिडिल स्कूल कै कला शिखाँदौ सु!,हाऊँ एक माज़ी सुकूल कै कला शिखाँदौसु!
77,"When he got tired, he would spend his days on rice like a grain of rice.",जेत्रेह शादुई देह आछतोह थियोह जेएव तेएव दोहयाग सिह चावल खाइऐ गुजारा टानदोह थियोह,शांदुई देह शांदुई देह च़ाओल रोह दाना रोह गान दयारो च़ाओल खांई बेज़दोह थियोह।
78,Then I,तेह मेईये,तेह हाँऊ
79,The tricks of her daughter-in-law and her eldest son made her more distressed.,तिज गास काह बह बोडोह छेल्‍डु आई बोआरी रोह चाल भाज होरिह आइ बोदिह दुक देदेह थियेह,बुवारी सिह बोडोह बाऊ रोह च़ालकारिये तेस लाह मुलुक दुख फिरिह थियोह।
80,They came running.,सोह ठुरेन बिह आछेस नाजानु किजुह,दौडयाउविंदै आए।
81,Who said it was Harry?,कुन बोलेह किह होई हारुई,"होई कुनिये बोलोस, हैरी साह।"
82,She 's got a nice girl .,वाल ओबोल देन पोरिह साह आम्‍मा तामोर रोह राजू लाह,तेस रोह एकह ओबोल देन छ़ेल्डी साह।
83,The only thing to do is to make the place a sign.,"होयो टान, होसो ज़ागा रोह कोब्ज़ा केह टान।",ऐखोह बाते तांह होईये ज़ागा लाह एकह निशानिये ज़ुर्राई ज़ागनोह थियोह।
84,"When Bikiram saw him, he asked him, ""Tell me who you are?""","तिन लाह देखिह देह बिक्रमे तिन काह पुछ़ोस, बोल तुहं कुन सेह?","तिन लाह देखिह देह बिक्रमे तिन काह पुछ़ोस, तुहं कुन सेह बोल?"
85,Water management has erased our,पानिह रोह टानिह ईतजाम आमोर रोह खोतोम टानिह टिश,पानिह व्यवस्थापके तामोर रोह
86,And the mother was sacrificed for this great-grandmother form.,आई मांता रोह होई चामुण्डा-महाकाली रुह रोह तांई छ़ेली बेज़ेन थियेह।,आई माता रोह बख्श होई आपी रुह रोह ताई बेज़िह थियोह।
87,What's wrong with daughters?,आखिर छ़ेल्डी पेरे कियाह बिगारिस कास रोह।,छ़ेल्डी पेरह रोह कियाह आछ़तोस।
88,"He said to the eldest son, ""You and the younger one, take the basket off slowly, and I will strike you with the stick"".",तिनिये बोडोह छ़ेल्डु लाह बोलोस तुहं आई लोडोह स्या छ़ाटोह लाह मेसे-मेसे पोरुह टानोह हांऊ शोठोऐ च़ेक सुहं।,"बोडोह छ़ेल्डु लाह बोलोस, तुहं आई लोडोह ज़ेओ बिह मेसे-मेसे छ़ाटोह लाह गारिह देह हांऊ तांऊ लाह लाठी बेज़सुहं।"
89,The policeman would squeeze all this stuff and swallow a cake and a cookie with a glass of tea.,पुलिस रौ सिपाही मूड बाज़ू टेमाईंदै हौयौ सेब नौखरै रौ मौज़ा कौरदौ आ चा रि गालास सि केक बिस्कुट गुटबै लागो,पुलिसा हौयौ सेब सामान लै ज़ैऔ ज़ैऔ कौरदौ आ एक गिलास चा सि बेज़िंदै एक केक आ एक कुकी लै गिशदौ।
90,The old mother was listening.,बुढी आमां सऐब शुनेन थिह।,बुढिह आमां शुनदी थिह।
91,There has always been a difference between saying and doing.,काने शुनोह आई खांके बोलनोह केह बिह मुलुक फोरोक थाकदोस।,बोलना-कौरनाए कौदुवे फौरौक थाकदौस।
92,"In the evening, she took a bag of flour and came home to sing, but she did not see the sweetness and her liver burned.",ब्याली लै च़िक्साई ज़ोली गिनुविंदै गातो घौरै पोछ़ी ता रसीला लै नेदेखिंदै तेसा ज़िवा डौमखुवो।,"ब्यालथान सेग च़िलिम रोह ज़ोला गारिह देह घोरेह आछ़िह देह गेत ल्याऐन थिह, तेबिह मिठोह देखिह देह जिदंगी ज़ालाएन थियोह।"
93,"Sometimes you think about your family, sometimes you think about your future.",कौदु आपनौ पेरा बारे कै सुनच़ींदै कौदु आपनै आछ़दै कालै रोह बारे कै।,कौदु पेराई सुनच़ींदै कौदु आपनौ भविष्य सुनच़ींदै
94,Is there no sugar in ice cream?,कयौ आइसक्रीम कै चिनी नाथाकदि हुवेसौ?,आइसक्रीम केह किछ़ेह शुगर नांई?
95,Then she would cry,तेत्रेह रुदिस।,तेह रुएन थाकिह
96,Good Haqqam Ji! I come to tie the bulls.,"हो, पोटबारी ज़ी! हांऊ दामां लाह बानिह आछ़सुहं।”",भौलौ हकम जी! हाऊँ दामां लै बानिंबै आछ़सु।
97,"Hi how are you today great, just finished swimming","हाय कैनै तुँबै आज़ वाल औबौलस, बस तैराकि छ़ेकुवो","हाय तुह आज़ केनोह सेह, महान, ईमरिह बोतोल फिरिह देह।"
98,"Otherwise, there is no use in sewing it.",ना ता हेथलै सिंउना किछ़े फाईदा नाईं।,नांह तांह होज़ लाह सिलाई टानमे लाह किछ़ेह फायदा नांई।
99,It was like this every year.,बोराष काह होयोए ताह फिरदोह साह,हर बौराश हेती फिरेन थाकदि थीह
100,"As soon as the sound was heard, both currents became active.",भनक लागदेसिऩाए दुईये बौईनी तेज़ फिरी।,"ज़ैऔवे कानियाऐन थाकोस, दुईये धाराएँ च़ौलान फिरि।"
101,"And they drink, and they become drunken.",जुटीह देह ताह सेएबे मोतोलोबी फिरदेह साह,जुटिह देह जुटिह देह जुटिह देह
102,All the drunkards happy Delhi,दिल्ली रोह सऐबे शराबी होरिह खुसिये थियेह।,सेएबे नशा टानदे स्या होरिह दिल्ली लाह खुसिये टानिह देह।
103,You are in a difficult situation.,तुह ताह मुशकिल रोह फंदा केह थाकमे सेह,तुहं मुशकिल हालोत केह सेह।
104,"Man, why are you congratulating me?",याह! तुहं मांलाह किज़ु मुबाराक बाद दियेन सेह।,यांह मांलाह किज़ु मुबारकबाद देईयेन सेह?
105,What do you care about anyone?,ताऊलाह कास रोह किह परवाह,तुह कासेह रोह किह फिकोर टानदोह सेह
106,"I'm also a vegetarian, terrible.","हाऊँ एक मासाऊँ नाखाँदौ बि सु, डौरना ज़ैऔ।","हांऊ एकह शाकाहारी बिह सुहं, डोरनो ज़ेओ।"
107,The flowers will bloom fully.,फुल औबौल ढाँगै खिलयाईसा।,पुरोह फुल फुलियेस
108,They realized that the brother's bond had pressed money on both sides.,तेनै सौमज़ुवे भाई रै जुलाहेयै दुईये बिलै रुपया टेमाई छ़ारौंदौस,तेनोर लै हौयौ पौता लागो भाई रि बांडै दुईये बिलै कै रुपया प्रेश कियो थेयो।
109,What was the laughing matter?,हेतकै हाँसनाई कयौ बातै थीह,हासनोह किह थियोह
110,by being present,हाजिर फिरिह देह,होतिन्छ़े थाकिह देह।
111,Avoid overexploiting butter.,बोदिह बोलोह फिरनोह काह बिह बोच़िह थाकेयोह।,दही रोह बोदिह शोषण काह बोच़ोह थाकनो च़ाँनोह।
112,"Mary: If you want, I can come with you.",मैरी आगोर चाँताह हाँऊ ताउसिह नासुह।,"मैरी: कियै तुँबै च़ाईंदैसौ,हाऊँ बिह साथ आछ़ि सौकदी सुह।"
113,"Uh, Spaghetti. You know what?","ओह, स्पेगेटी। तुआ","ओह,स्पागेटी।"
114,Nikku 's son managed to get his friends into his gang.,निक्कू रोह बाऊ आपनै सौंगी लै आपनै गुट कै शामिल कौरनै कै कामयाब फिरो।,निक्कू रोह बाऊ आपनै सौंगी होर लै आपनी गैंग कै आननाई कामयाब कौरोस।
115,Madame gave orders of strictness to the arts.,मेडमे सख्ती रोह आर्डर देई देह कला,मैडौम कला कै पाक्का फिरनाई हुकुम दिनी।
116,the owl said,उल्लू बोलेन थियोह।,उल्लुए बोलोस
117,I have a four - year - old daughter.,मेरोह एकह च़ार बोराश रिह एकह छ़ेल्डी साह।,मुकाछे एकह च़ार बोराश रोह छेल् डी साह।
118,But he was counted among the most famous thinkers.,तेबिह तेनोरिह तांह सऐब ठांऐ मुशुर थियेह।,तेबिह तिन लाह सऐब काह मुशुर सुन्च़ि होर केह गिनुई थियोह।
119,"But at a young age, he was devastated.",तेह गाटोह उबोर कैह सोकराङ फिरिह थियोह,तेबिह लोडोह बेरे तिन लाह वामांङ फिरोस।
120,"Thus I tell a secret: not one of every man, but two pages are empty.","हांऊ एकह बाते बोलुवांह, सऐब मांनुशा रोह एकह नुवांह बल्कि दुई पन्ना खाली थाकदोस।","होज़ रोह तांई हांऊ एकह गुप्त बोल्दो सुहं, सऐब मांनुश रोह एकह नुवांह, बल्कि दुई पन्ना होरिह खालिह थाकदोस।"
121,"Sadly, dear ones",दुख बोलोस।,दुख साह मेरोह जानेक होरिह
122,"When they arrive home, the children's eyes blink and",घोरेह पोछिह पिछुह छेल्‍डु पेरेह आखिह माडियेन पोह,घौरै पोछ़दै ता छ़ोटु रिह आखि च़िलिमदौ आ
123,"It was breathless to hear, perhaps Sharma could change something.",तेका शूनदा शूनदा सांस भौरी थी शायौद शर्मा जी दौक बौदलीसा,"हौयौ शूननाई सांस कैह बान्त फिरो, शायौद शर्मा किछ़ बौदल्याई सौकदौस।"
124,He will ask if anyone is crying,पुछताह आगोर कुन किजु रुएन कोन,पुछ़ेस कुन रुँदिस
125,Patients come and see for themselves,मरीज होर लाह आफुह बिह आछिह साए,विरादे आछ़िह देह आफुऐ शांऐन थियेह।
126,Arjun became serious.,अर्जुन परेशान फिरोस।,अर्जुन सऐब गाश बोलोस।
127,Sing the sermon of Bapu.,बापू रोह उपदेश लाह लायेन हांड,बा रोह प्रवचन लाह गेतह लाओ
128,I'm not sure what I'm saying.,आमलोह मिठोह बातेह,मुला यकीन नाईं किह हाऊँ कयौ बोलान सु।
129,I may have to find that show.,मालाह सोह शो लोरिनोह फिरेस।,मुला हौसौ शो लोरना खोमाएस हुवेस।
130,How the Lamoh of Leman the Jenoh of Dancing Alive,वह मेरी सबसे अच्छी दोस्त हैयह अच्छा है ।,केयोह लेमन रोह लामोह जिन्नोह नाचदोह साह जिऊदोह
131,The guards of civilized society.,सभ्य समाज रोह प्रहरी।,सभ्य समाज रोह पहरेदार
132,Nature must take its revenge.,प्रकृति आफरोह बोदला ज़रुर मांगेस।,प्रकृति लै आपनौ मौन माँगो।
133,And no one can repay your milk.,कोरज़ रोह खीर रोह आमां कुने चुकायाई नोबोलेस।,आई तेरोह खीर रोह रुपया कुने बिह नोबोलेस।
134,"Many times I ask you if I was in third grade in reading, qualification?","मुलुक पोलटाङ तांह हांऊ आफुसे बात्याईयेन थाकिह, कियाह हांऊ शिखिनो केह काबिल थियोह?","मुलुक बेरै हाऊँ पुछ़दौ सु किह कयौ हाऊँ पौढ़ाई कै तिसरी कक्षा कै पौढ़दौ थेयो, कौबिलिफाई?"
135,Her cousin - in - law - standing outside told me to go inside.,बाए खौरि हौतेसाई लौऊठि शाशुवै मुला बोलो किह हाऊँ बिह हाईतै नाशुँ।,बाऐ खौरौ फिरिंदै तियूँरै शोशाईयै मुला हाईतै नाशी बोलिस।
136,Just scared with my cat.,ऐखोह मेरोह पिशिह काह डोरनो आछ़तोस।,एखोह मेरोह पिशिह काह डोरिह देह।
137,The gardens must be guarded,डोखराई रौखवाली कौरना ज़ुरूरीस,बागिच़ा होर लाह पहरा देनोह च़ाँनोह।
138,"Yes, I do not eat or support anything harmful to animals.",आँह हाऊ जानबोरा रोह ताई फायदानुदोह  किछेह बिह नाखादोह सुह याह समर्थन नाटानदोह सुह।,आँह हाँऊ नाह खादोह सुह आई नाह सेमचेन लाह नुकसान टानदो स्या किह बिह सहारा टानदोह सुह।
139,"the mouths of the Fajûl and the Haram,",फालतू रोह गप्‍पे आई हराम लाह,फजौल आई हराम रोह खाक
140,He fed them with various dishes and honored them.,"तेसे तेनोर लाह राट बानबात रुह स्या खांऊ होरिह ज़ुर्राई देह खिलायाओस, आई मुलुक आदोर टानोस।",तेनोर लाह मुलुक खांऊ होरिये खांऊ ज़ुर्राई देह ईज़ित टानोस।
141,This is where the Tallu of Mother Sati fell.,होई ज़ागा गाश माता सती रोह तालू शोरिह थियोह।,ईन्छ़े माता सत्या रोह तालुकौ फौसो।
142,"Then he took a deep breath and said, ""I had to pay a big price for this game.",तैह तिनियेह लाम्‍दोह सास मागेन पोह बोलोस होयोह खेलिह देह मालाह वाल आफोत फिरिह ।,"तेह तिनिये ग्रोह सांस गारिह देह बोलोस, होई गेम रोह तांई मुलुक बोलोह मोल तिज़मेहं आओस।"
143,You have to be very fast.,तांऊ लाह मुलुक तेज़ फिरनोह च़ाँनोह।,तुहं मुलुक हासाल थाक।
144,What difference will we make?,तांमोर लाह कियाह फोरोक फिरेस।,आमोरिह किह फोर-फर्राट टानसिह?
145,The stone statue was made.,पाथार रोह मूरत टानिह बेजिह,पाथार रोह मुरती फिरिह देह
146,Have you gained any more?,किया किह कमाईयाह बोढाईयाह मांनुषा टानोह बेसिह देह हिसाब,कियाह तेईयेह आई किह ज़ितिह?
147,I like rap too!,मुला बिह रैप भौलि लागदिसा!,मालाह बिह रैप पसंद साह।
148,"who asked for it,",जुन मागेन थाकिह,जुन मांगेन थियोह
149,"When the Master searched for the name of Bhagathu in the register, he was 50 years old.",ज़ेतरा मास्टौरै तियूँरौ नाऔ रौजिस्टौर कै भक्तू रौ नाऔ लोरुवो ता तियूँरी उमौर पाचास बौराश थीह,ज़ेतरा मास्टौर जी रजिस्टर कै भगतू रौ नाऔ लोरिये ता तियूँरी उमौर 50 बौराश फिरो थेयो
150,a burning fire that is constantly deceiving,डेसमाईयेन थाकदोह साह जुन सोदाह छलती,सोह दियोह आग जिह आलकोह टानदोह साह
151,How's your day going?,तुँबा दिन कैयौ बीतानस?,तेरोह दयारो केनोह फिरेन साह?
152,"Mother: More cornbread to put in, more labourers will come to work.",आमां: छ़ालिया रोह रोटिह बोदिह बेज़ेह कामाईया बिह बोदिह आछ़ेस काम रोह तेईंयेह।,"यो: आछ़बैलै आच़ी रोटी बेज़बैलै, काम खौटनाई ताईंयै आछ़सा आ काम खौटदै वारै।"
153,Three of the five branches grew to be green.,होसो पांच़ ब्रारच़ोह मांज़ काह त्रोन स्या हारोह थाकिह देह ब्रोरज़ेन थाकोस।,पांच़ शाग काह त्रोन-त्रोन शाग हारोह फिरोस।
154,Vegetable Mandi arrived for a troubled and distracted mind.,मोन लाह नेबेसाई आई काबुह केह नाटानिह देह हाऊ सब्‍जी रोह दुकान कैह नाठोह।,परेशान आ विचलित मौन रिह ताईंयै सब्जी मंडी आईस।
155,This will have a very negative impact on the hotel business.,होटल व्यवसाय गाश ईज़ रोह मुलुक बुरा असर फिरेस।,होज़ रोह तांई होटोल होर रोह काम गाश वाल मांरे असर फिरेस।
156,"Hey, you got dogs?",यांह तुमोर काछ़े कुकुरा हुदोवा?,"अरे, कयौ तुमकै कुकुर सा?"
157,Ovari went in and began to cry out loud.,हाइतरा कौमरा कै नाशींदै ज़ोर ज़ोरियै रुँबै लागो।,ओवरी बिते नाशिह देह ज़ोरिये रुवाई थियोह।
158,"One stopped the Brahman and said, Pandit Ji, what are you carrying on your shoulder?","एकहे ब्रामोन लाह रोकाई देह बोलोस, पंडित जी तुह होई कामार गास किह नियेन सेह।","एकियै ब्राह्मण लै रोक्याईंदै बोलोस, पंडित जी आपनि क्यारै कै कयौ नाशान सौ?"
