,English,Target Kangri,Generated Kangri
13,"After this clash, Sindhu was not encouraged.",इसा झड़पा परन्त सिन्धुए रा हौसला नी पेया,"सिन्धुए जो एह गल्ल सुणी करी सैह् गलाणा लग्गा, मैं कुसी दे घरे जो नी जांदा, जे इस जो कुसी दे घरे जो नी जांदा"
14,There is a lot of fun in Vedas because there is a grandmother 's almond garden.,"तित्थु वेदेओ बड़ा मजा ओंदा, कजो कि नानिए दा अम्बा दा बाग है।",वेदियां च मता मज़ा ए कैंह कि तित्थू इक्क नानी दा बदाम बाग है।
15,Those who leave their parents and go to another home shall be grieved.,अनपढ़ां च पह ई ता है- चाचू जदेहई जान म्हारी. सैह-देहई निहा दी,जे अपणे मा-बब्बे जो छड्डी के कुसी होर घरे जो चली जांन्दे तां ग़म हुंगा
16,Why do people see burning,खिड़-खिड़ चारै हस्सा,जलदेयां दिक्खदेयां लोक कैंह
17,Reju Ram 's whimper and recommendation of the tempest worked.,रीझू रामे दी गिड़गिड़ाहट कनै दसौंधिए दी सफारस कम्मै आई,रीझू राम दी कराहट कने तूफ़ान दी सिफारिश ने कम कित्ता
18,"It's very difficult for children to live without a mother, and the lawyer wins by being a lawyer.","लौहक्की मसदरैणी देहई, कुते घट-, सैह ची",बच्चेयां जो माँ बगैर बची जाणा बड़ा मुश्किल ऐ वक़ील बणी के जीन्दा है
19,"Meanwhile, the Mughal king said: - Who is the goddess? What miracle? We do not believe in any miracle.",161 इस बिच ही मुसरमान बाछाह गलाई पियाः-‘कुण देवी ?कदेहा चमत्कार ? असां कुसीह् बी चमत्कारे जो नी मनदे।,{568} इस बिच मुसरमानें गलाया............... देवी कुण है ? कुणिया चमत्कारां ? असां कुसी चमत्कारा दा भरोसा नी करदे।
20,"I used to live in the city, I didn't have 4h. It's really bad, it's really fun.",मैं एक वैज्ञानिक दे तौर च कम्म करदा। पर मिंजों विडियो गेम खेलणा पसंद ऐ। मैं एक बच्चे के तौर पर चौथी तक कितेया ऐ।,"मैं सड़का च रेहंदा था, मेरे बल 4 घंटे नी थे। एह बड़ा बुरा ए, एह बड़ा मज़ेदार ए।"
21,"Look, Prime Minister, I have to drive the car.",तिन्नी जादा नी पीत्ती थी पर इक बोतल परी ही जोन्ढे ते मंग्गी लई थी,एह तां ठीक ऐ
22,He thought the old man had forgotten the way in the dark and was stopping and figuring out the way.,कदी खड़ोई जा करदा था ता कदी झट झट चलणा लगी पौआ करदा था,तिन्नी सोचा था कि बुड्ढिया ने अन्हारे च रस्ता भुल्ली दित्ता है कने रुकी के रस्ता समझदा जा दा
23,"When all the people were well and well, the Jonda left.",जोन्ढा ठाठियां मारदा रिहा !,जाल्हू सारे लोक ठीक होआ करदे थे ता जोन्ढा चली गिया
24,"The bridegroom, the priest and two others sat in the car, the rest of the barati went to get married.","{790}  लाड़ा, परोहत कनै दो होर सौगी कारा बिच बेही गे, बाकी जनेत बस्सा बिच बेही के ब्याहणा चली गे।","{844} लाड़े, पुरोहित कनै दो होर गाडिए बिच बेही गे। बाकी भारती ब्याह-ब्याह करनें चली गे।"
25,The Brahmins were told stories of their hosts.,इक्कसी दिने दी गल्ल ऐ।,ब्राह्मणें जो अपणे मेजबान दी कहाणियां दसी दित्तियां
26,He made Jagasukh his capital.,सन 1500 ई. विच सिद्ध सिंह ने बदानी वंश दी स्थापना कित्ती।,तिन्नी दुनियासुखे जो अपणी राजधानी बणाई लेई
27,"James: I have to work at Starbucks from 8:00 am to 12:00 noon, and then I have school.","जेम्स: मींजो भीयागा अठ बजे ते दोपहर बारह बजे तक स्टार बकस च कम करना ए, और फिरी मेरे आली स्कूल ऐ",जेम्स: मिजो राती अठ बजे ते बारह बजे तिक्कर स्टारबक्स च कम करना ए। फिरी मिजो स्कूले दा टाइम ए।
28,Keep on keeping on the light.,सजा मैफलां बिच सितारे बणी नैं,"एह् गल्ल सुणी करी सैह् गलाणा लग्गी, अज तुसां जो क्या करना ऐं?"
29,Brave Arjuna Bhim Mahadala warrior from Lakhpathi,जो चंद दिया तिज्जो वर जी मिल्लेया-तेज बड़ा तलवारी ॥ 2 ॥,लहपतिया दा वीर अर्जण भीम महादाल योद्धा
30,The letter of recommendation does not endure this,"डांगरे, डोहरू छोहरू नेंदा सारे ।",अपर एह तां गल्ल ऐ-
31,"On his return, Bikiram came to the king who was his friend and had stayed there six months earlier.",{559}   हटदिया बारिया बिक्रम तिस राज्जे बल्ह जाई रिह्या जेह्ड़ा तिसदा मित्र था कनै छे मीह्ने पैहलैं तित्थू राती रिह्या था।,{575} लौह्के परन्त बिक्रमें राजे बल्ह आई गिया जे तिसदा मित्र था। सैह छमियां मीह्ने पैह्लैं तित्थू ही रिह्या था।
32,My Himalayas are very confident.,लगे सुरगे रा कमल एह झुटारा,मेरा म्हाचल बड़ा भरोसेमंद है
33,We are no longer covered by his deeds.,कनै उपरा ते हर त्रिऐं ध्या. कोई न कोई जणास तिसदे खलाफ सकैत लई ने पंचैती बिच आई रैन्धी,असां जो हुण उदे करमां ते कोई ढकण नी
34,"The boy came from there, saying, 'Khai, Khai, Khai.'",कनैं चिड़ियां पलें-पलें तिस खा दियां थियां,सैह् मुंड्डू तित्थू ते आई करी बोल्ला करदा-खाई खाई खाई खाई
35,A month ago I went to a wedding.,मेरा अलौकिक बी तिन्हां दिक्खी बडा़ खुस होया कनैं तिन्हां दे सुरे नैं सुर मलाणा लग्गा।,मैं इक महीने पहले इक व्याहे च गईया था।
36,The ghost doctor was the shadow.,किछ दिन इन्नी खरल खरोहले,भूत डाक्टर थी छाया
37,"On the other hand, there was a dispute in the house of God.",“कुड़ींयां-ज्हंमदीयां ई करजा हुंदोंयां पिता जी,"तिन्नीं गलाया, भई, मैं तां गलाया, जे तुसां दे घरे च कोई गल्ल नीं होंदी, तां तिन्हां यो कदी नीं पता लग्गा,"
38,I wonder why I shouldn 't take it with me and put it in a vacant place in a barn .,"मैं सोचा नां भई कैंह नां इस जो अपणे कनें लई चलिए, कनैं इक बजीरे दी जगह खाली पइयो तिसा जगह पर इस जो रक्खी लइए",मैं सोचदा कि मैं इस जो अपणे कन्ने कन्ने नी लैई करी इक्क खूह्ड़े च खाली जगह रक्खी के कजो नी रख्खी सकदा।
39,One that remains empty and the other that the person deliberately hides from the world.,इक्क जो ख़ाली रई ही जांदा है कने दूआ सैह  जो ओह माहणूं  जाणी-बुझ्झी  के दुनियां ते  छुपाई  जांदा   है।,इक खाली रैहन्दा कने दूआ जो आदमी जानबूझकर दुनियां ते लुकाई दिंदा।
40,"Within days, the husband became fond of the Goddess of the drink. The family members sold the daughter to a local and left the helpless Daliya alone.",मतिया शराबा पीणे ते घराआला़ भगवाने जो प्यारा होई गेया।,{844} कुड़िया देरा बाह्द ही पियोह्पे जो पीणे दी देवी दा शौक होई गिया। टब्बरे आलेयां कुड़ी इक्की लोकलें बेची दित्ती कनै बेसहारा दल्या जो छड्डी दित्ता।
41,Spending two bucks was a death to him.,"दूआ सैह्‌ रज्जी ने कंजूस, बड़ा कोहड़ी",दूंह रपइयां खर्च करना तिस वास्ते मौत थी
42,What is wrong with us?,"इन्हां पैंछियाँ,तितलियाँ,जानवरां जो कोरोना घोघड़ कैंह् नीं खांदा?",असां जो क्या दिक्खणा
43,Some shoes come in the form of a woman wearing size 12.,कया तुहां यो ए दिया लगदा ऐ कि तुहां दूज्जै लोकां ने मिलणा वंद करी दिन्दें न ।,कुछ जूते साइज़ 12 पहनने वाली महिला दे रूपे च औन्दे हन।
44,677. My daily devotion! It is so good!,676. उसकी हमेशा प्रशंसा करो! अभी-अभी पढ़ा है,676.मैं एक नर्स हूँ।
45,Wife does not show what little much means full,लाड़ी:- थोड़ी मति दा क्या मतबल पूरी नी दखान्दे सैह,लाड़ी नी दसी दिंदी जे थोड़ा बडा मतलब भरा
46,"His hands and feet began to crawl, and when he saw his hands and feet, small and large spots came out on them.",{471}   तिसदेयां हत्थां - पैरां बिच खुर्क लग्गी हुणा। तिन्नी अपणें हत्थ कनै पैर दिक्खे तां तिन्हां पराह्ले निक्के-बड्डे  फोड़ू निकल़ी अय्यो थे।,{575} तिन्हां दे हत्थ-पड़े खरोंचणा लग्गे। तिन्हां दे हत्थ-पड़े दिक्खी के तिन्हां पर निक्के-बड्डे दाग निकळदे हे।
47,Mother stopped writing poetry and asked her son what he wanted to say.,दक्ष:नीं माँ!प्हलैं मेरी गल्ल सुणाऽ।,अम्मा कविता लिक्खणा बन्द करी दित्ती कनै पुत्तरे ते पुच्छणा लग्गी जे क्या गलाणा चाअंदा।
48,"We have gone astray from you,",गल्ल तां कुछ वी नीं थी भाई,असां तुहाड़े ते गुम होई गये
49,student leaving the opposition,प्यारा दियां पींघा पाई लेया,विद्यार्थी छड्डी के विरोध
50,But they are all covered.,देयो दे तोपणा लग्गिए तां खासी लाइन लगी सकदी,पर तिन्हां सबना जो ढक्की लिया
51,I pick up my little snail,मैं छोटी साली मेरे नखरे उठाई लेयाँ,मैं अपणा छोटा सा झींगा चुक्की लैंदा
52,At midnight there was a loud noise outside.,मिंजो लग्गेया प्रकृति बी माह्णुआं नैं प्यार करदी तां माह्णू कैंह्नी दया दसदा।,{575} अध्धी रात्ती पर्हारे बिच बड़िया-बड़िया गल्ल मचियै आई।
53,You smile and we walk with smiles,तू मुस्कुराई दे कने असां बी मुस्करांंदे  चलिए,तुसां मुस्करा दे कनै असां मुस्कराई ने चलदे हन
54,"The sun's rays are falling on her hair, which makes her golden hair look very beautiful.","217.  सूरजे दियां रस्मां तिसा दियां बाळां उप्पर पौआ दियां हन्न, जिसते तिसा दे सनैहरी बाळ बड़े ही छैळ लग्गा दे हन्न।","तिसा दे बालयां पर सूरज दी किरणें औंदीयां, इस करी तिसा दे सुनहरे बाल बड़े छैल लगदे"
55,Listening with ears,तंदरूस्त रैणा तन,सुणदेयां कन्ने कन्ने
56,It is wise,"इस्से बहाल दमाक ऐ,",एह समझदार ऐ
57,"In the Maya prapanch, we forgot to feed ourselves.",झूठे दे लाग लपेटां च असां सच्च ग्लाणा भुल्ली गए।,माया प्रजा च असां अपणे आप खुआणे जो भुल्ली गए
58,"When girls were born, they were thrown into pits.","तुहां जीय्यां-2 जवरे होआ दे तीय्यां-2, पता नी क्या होई योदा धुहाड़े दमागे यो """,जाल्हू कुड़ियां पैदा होई जान्दियां तां तिन्हां जो पिट्टियां च पाई दिन्दा था
59,offering slow,संजोग,चढ़ाई देयां धीमे धीमे
60,You are not afraid of anyone.,कबर स्लेबस कदू कराहंगे?,तुसां कुसी ते नी डरदे
61,The old woman 's ghost fled because of the disciples' confidence.,फ़ी तिन्हां जो बक्खरे-बक्खरे पुर्जे पुआईत्ते कनैं घरे दे चौफिरदैं मंत्तर पढ़ियै सरूं परेड़ीत्ती।,तिन्हां जो भी अपणे घरे दी गल्ल सुणी करी सैह् अपणे घरे दी गल्ल सुणी करी अपणे घरे दी गल्ल सुणी करी अपणे घरे दी गल्ल सुणी करी अपणे घरे दी गल्ल सुणी करी अपणे घरे दी गल्ल सुणी करी अपणे घरे दी गल्ल सुणी करी अपणे घरे दी गल्ल सुणी करी अपणे घरे दी गल्ल सुणी करी अपणे घरे दी गल्ल सुणी करी अपणे घरे दी गल्ल सुणी करी अपणे घरे दी गल्ल सुणी करी चली गेआ
62,You have your own government.,तुसां परजा ही बणी रेहा चाही,तुसां दी अपणी सरकार है
63,But I want to tell you a story.,फर्क आया कि नीं,पर इक कहाणी दस्सां
64,The Brahmin heard all of his talk and the king called the man,तिन्हा जगा-जगा ढिंढोरा कीता जे देहे बैदा जो खूब सारा इनाम बी मिलणा,"तिन्नी ब्राह्मणें गलाया, 'जाहलू तुसां कुथू जां?'"
65,"Likewise, the poor and the needy lived here.",एह ग्रां भी जोन्ढे दे ग्राएं साही ही था,इत्थु बी गरीब कन्ने जरूरतमंद लोक रैहन्दे थे।
66,She asked Sethani for a husband and all the dales went down.,तिन्नी सोच्चेया जे दाल़ बचाई लेई तां भ्यागा तिकर खराब होई जाणी।,तिन्नी सेठानी जो ब्याह मंग्गा ता सारे दलेई नीं हटी पे।
67,"Labourers: If we do the red work, we will be handled by the people.",मजदूर:-लाला क़म्म ता सांजो लोक हत्थ जोड़ी करी पैरां पकड़ी करी दिंगे,मजदूर:- लाल कम्म करदे तां असां दा हत्थ लोकां दा हुंगा
68,Want to chat?,चैट करना चाहन्दे?,चैट करना चाहंदे?
69,I think tonight will be a very short one.,"लग्गा दा, अज रात हवालाता ही कोगी",मिजो लगदा जे अज्ज राती बड़ा छोटा इक्क होणा।
70,The mother - in - law was a very innocent woman.,हुण सस्स-नूंह् घरे च रैंह्णा लगी पेइयां।,सस्स सौहरे दी मा बड़ी भोली थी
71,You have satisfied Govind. 2.,धन- धन राणिये दुर्गा देवी,तू गोविन्द जो पूरा करी दित्ता।
72,Songs for those who loved us,गीत उन्हां वास्ते जिन्हाजो थी मुहब्बत साड़े कन्नै,गीत साड़े प्यारेयां वास्ते
73,"If the forest and the boots survive, our Himalayas will survive.","जंगल,बुटे बचगे ता म्हारा म्हाचल बचगा।","जंगल,बूटां बचगे ता म्हारा म्हाचला बचगा"
74,"If a tree is thrown down, let him eat a piece of it, lest he sit down hungry and thirsty and sleep.","जे कोई रूखा-सुक्का टुकड़ा सुट्टी जाए तां खाई लैन्दा, नहीं तां भुक्खा-भाणा तित्यू ई बौहन्दा, कनै तिथू ई-सौंदा","जे कोई रुक्ख बड्डा हो तां तिन्नी तिसा दा कुछ हिस्सा खाई लिया, जे सैह भुक्खे प्यासे बैठी के नी सोई जाऐ"
75,"If not, threaten to empty the room.","न देईए तां कमरा खाली करने दी धमकी,",जे नी तां कमरा खाली करने दी धमकी देई देया।
76,"1304. Take honey every day, but I get allergic to hearing about bees.","1303.हां, मुझे समुद्र तट पर तैरना पसंद है।",1303.मैं एक नर्स हूँ।
77,He did not speak to the people of the land.,सैह रोणां लगी पिया,तिन्नीं अपणेयां बड्डेयां-बड्डेयां गल्लां सुणीयां
78,If you haven 't been able to do it yet,न दौलत न शोहरत क्रम औणी,जे तुहां होर बी नी करी सकया तां
79,"You go, you man, get me the flesh of a man and save my life.",पर क्या करूं? सैह औआ ही नीं करदी कन्ने एथी मेरी जान निकलादी,तू जा यार मिंजो आदमी दे मास मिल्ली दे कनै मेरी जान बचा
80,I 'm grateful to you .,मै यए इंजा ई पुच्छा दा ए ।,मैं तुहाड़ा आभारी हां।
81,Girls should be proficient in cooking,कुड़ियां जो खाना बनाणे दी कला च निपुण होणा चाहिदा,कुड़ियां जो खाना बनाना बडा़ खरा लगणा चाहिदा।
82,He would fight a boy and die.,मास्टरां ने गलल्‍ला परती लड़ी पौन्दा था,सैह् कुसी मुंडुए ने लड़दा मरदा
83,All this is a way to make the boy feel bad and put a bad habit on him that he doesn't believe in.,"भाई अपंण एह तां, तां ई होणा, जे तुहां जुआन, सारे लोहक्के-बड्डे, एक्का करन, जे नां अहां दाज लेगां, नां दणां-चांहऐं म्हारी कुड़ी, जां मुंड्डू, कुआरा ई कहनी रेहई यांदा",एह् सब किछ तां एह् मुंड्डुए जो बुरा लग्गाणा कनै तिस पर बुरी आदत डालना जेह्ड़े तिसजो भरोसा नी है
84,"957. It's an indie band, but we've been playing pink Floyd and door music lately.",956.कि आप आज कैसे कर रहे हैं?,956.मैं एक संगीत कार्यक्रम में गया।
85,I was cold looking at him.,"तिज्जो पता ऐ, हर चीज दाज्जे में दित्ती",मैं ठंडी होई के तिसा जो दिक्खदी थी।
86,"Just the boat was built, Sumit asked him to demarkate it but he was not.","हाली ढंगा  ही बणया  था ,सुमित  उजो  डिमारकेशन  करने  जो बोलया ,पर सै मन्ना  दा था।",बस नौका बणाई गई सुमितें तिसजो दमाक करने तांई गलाया पर नी होया
87,"Otherwise, you wouldn't appreciate it.","वर्ना अश्क तुहाड़े,इस कदर न  छलकदे",जे नी तां तुसां सराहना नी करगे।
88,"Or leave his house, and his sons take his share.",पर दिल क्योले साही काळा,यां तिसा दा घर छड्डी के तिसा दे मुन्नुएँ तिसदा हिस्सा लैई लैन्दे
89,Now I beg my lawyer to give some of his thoughts and then sit down and say,"मेयो, अपंगेंयां हत्थां पर वसुआस रक्खा- दुय्ये देंयां हत्थां दिक्खी, भिक्ख-पंगे मत बंणां",हुण मैं अपणे वकीले ते कुछ अपणे विचार देणे ताईं मती निहोरा करदा कने फिरी बैठया करी गलाणा
90,gas,ओम प्रकाश प्रेमी,भारत सरकार
91,"After eating, they both began to cut and sew wool as before.",सैह् भाऊए दी भैण सस्सू दी सिओआ च हाजर हो गई।,खाणे ते बाद दोनों पैले साईं ऊन कटाई करी सीना लग्गे
92,With understanding all is solved,बस होर कुछ बी नीं,समझदे ही सब किच्छ सुलझदा
93,"He shouted, ""Hey, he killed the old man alive"".",एह तां पता लग्गा तां जे इकसी सियाण आई नब्जां टोह ट्ठियां,"तिन्नी पुच्छिया, अच्छा, मैं तां गलाया, जे एह् गल्ल सुणी तां तिन्नीं बुड्ढिया जो जिन्दा ही मारी दित्ता"
94,Nothing can harm us.,करोना साड़ा किच्छ नी बगाड़ी सकदा,असां जो किच्छ नुकसान नीं पहुंचाई सकदा।
95,4 My favorite shoe is dancing with the stars oh this is a great shoe,4 मेरा पसंदीदा जूत्ता सीतारयां कने नाच करा दा ओह एह इक महान जूता ए।,मेरा पसंदीदा जूता तारेयां कने नचदा ओ एह इक बेहतरीन जूता ए।
96,Now I'll say one last thing.,कलियुग फेरा पाई गेया ।,हुण मैं इक आख़री गल्ल गलांगा।
97,The government should think seriously,सरकारे जो गम्भीरता कने सोच वचार करणा चाहिदा,सरकारा जो गम्भीरता कने सोचना चाहिदा
98,Maybe they can hear the park being connected and running.,शायद सैह पार्के जो जोड़ने या चलाणे ताईं सुणी सकदे।,शायद सैह पार्क कने कने चल्ला सुणे पांदे।
99,Here Amber attaches the mountains to the chest,कौमी एकता दी शान इनां निभाई।,इत्थु अम्बर छातिया पर पहाड़ां जो लगांदे
100,The invitation card was a poem and a photo of Nana.,"जेड़ा  कार्ड  सद्दे जो पेजया  था,उस पर बी नानी  लेई  कविता  कन्ने  नानी  दा फोटो था ।",निमन्त्रण पत्र इक कविता कने नानी दी फोटो थी
101,Krishna Kumar Nutan,सामणे लटोया घर ओह नीं बोलेया।,भगवान कृष्ण कुमार नूतन
102,Both were very sad.,दोनों मते दु:खी होई गे।,तिन्हां जो अपणेयां दोएंयां जो बड़ा दुःख होया।
103,The simple food is a very easy to eat food.,घर-घर पकवानों की सुगंधि उड़ रही थी।,सादा खाणा बड़ा आसान खाणा
104,Patwari passed the exam.,पटवारियां दे इम्तहयाने च पास होई गिया,पटुआरियें परीक्षा पास करी दित्ती
105,"17. I tried it once, but I didn't enjoy it.","16.मैं लाल से प्यार करता हूँ, मुझे गर्मियों के समय की याद दिलाता है।",17.मैंने अपने पसंदीदा में से एक के लिए एक बार कोशिश की।
106,I don't know when she'll leave us.,किलकां मारी-मारी मुंह् पीऊल़ा ते सुकियै सनैड्डू होई गेई ऐ।,पता नी काल्हू सेह असां छड्डी जाणी
107,I like to be fit.,मैं फिट रहना पसंद करदा।,मिजो फिट होना पसंद ए।
108,Look what's up.,चला भला नेतेयां बहाल,एह क्या होया
109,Some stories were also published in weekly and daily newspapers which were appreciated by readers.,"इक दो बरी साहित्य समेलना च कहाणियां पढ़ियां, सराहना मिल्ली, जिगरा बधया कने मैं लिखदा गिया",कुछ क्हाणी साप्ताहिक कने दैनिक पत्रपत्रियां च बी छपी गई जिसदे पाठकां दी सराहना होई।
110,"When he admitted, the people were talking.",इन्हां फुल्लां च कुती कुती कण्डे भी थे,जाहलू तिन्नी कबूल कित्ता ता लोक गल्लां करा दे थे
111,He was not impressed by the example of the bright boys in the neighborhood.,"नौईयां-पुराणिया कथा-कहाणियां सुणांदे तिसजो समझाणे-सुधारने दी कोस्त करदे, पर कुत्ते दीया लियूगणियां सांही तिस पर कोई असर नी हुन्दा",पर जोन्ढा भी अपणे घरे च बड़ी खुश हा।
112,"Nevertheless, if there were no shortage or delay, the king would gather the people and hold a fair every year on the holidays.",राजैं अपणे राज च कोई कोर-  कसर नीं छड़ियो ही।,"फिरी बी, जे कोई कमी होणी न कोई देरी होणी तां राजे हर साल लोकां जो इकट्ठा करी के छुट्टियां पर मेळा करादा था"
113,The people of the surrounding village were fed up with it.,इस कम्मे ने सैह्‌ झूठ-सच्च मेली मौज उडान्द था,परोके ग्रांए दे लोक इसते नराज होई गये
114,The TV on which the layers of dust had frozen was now glowing.,टीबी जिस पर धुड़ जमिओ थी हुन चमका दा था।,"जिस टी बी पर धूल थर्रफ जमेया था, सैह हुण चमका दी थी।"
115,"Ravana said, 'Which king 's son has this virgin 's affair with?","विधिमाता बोली, ""मैं हुणे ई कन्या रे भाग लिखी ने आई आं",रावणें गलाया कुस राजे दे पुत्तरे दा एह कुड़ीया दा अफर है ?
116,We have to swear.,भाषा पहाड़ी गलाणी हो,असां जो कसम खाणी है
117,"Son: I know, Mom, you never sent me to school.",पुत्तर :- मिंजो क्या पता अम्मा स्कूले कदी तैं  मिंजो भेजेया  नी एह बी कोई वड्डी पढ़ाई हुंदी होणी  चैटिंग वैटिंग,पुत्तर:- मिंजो पता अम्मा तू मिंजो कदी स्कूले नी भेजया।
118,The reason was the storm.,छप्परें बि दखी कित्ता,सैह् तूफ़ान ही था
119,Two tears came out of his eyes and fell on his cheeks.,"नी चांहदे होई भी हाखिं ते पानी निकली खाखा पर आयी गिय।,",तिसा दे हाखीं ते दो आंसू निकलदेयां थे कनै तिसा दे गांह पर पई जान्दे थे
120,Chief tutor Satya Prakash Thakur called on writers to emphasize the importance of level and creative writing.,मुख्य संरक्षक सत्यप्रकाश ठाकुर होरां लेखकां दा आह्वान करदे होए  स्तरीय कने रचनात्मक लेखन पर जोर दित्ता ।,प्रधान ट्यूटर सत्या प्रकाश ठाकुरें लेखकां पर लेवल कने सर्जनशील लेखन दे महत्व पर जोर देने दा आग्रह कित्ता।
121,It is a matter of the past.,नवीन हलदूणवी,एह गल्ल भूतकाल दी ही है
122,The sheriffs who robbed.,चोर-लुटेरों और बदमाशों के पांब चूमते हैं।,चोर चोर चोर
123,village doctor,"एह था उस जुगे रा व्हादर मुंड्डू, जिन्नी हिम्मत रक्खी करी कइयां मुसीबतां रा मुकाबला कीता क फतेह पाई","एह् गल्ल सुणी करी सैह् गलाणा लग्गा, भई!"
124,Don't you know the way home?,पर मिया मिंज्जो ता अपणे घरे दा रस्ता ही नी पता है ता मै कुथू जो जां ?--,क्या तुसां जो घरै दा रस्ता पता नी?
125,Blood was in the Ganges - Yamuna.,तड़पी कनैं करलाइयो संझ,गंगा-यमुना च खून था
126,Death is a word.,तुहां  वाल कुस्स विषय दी किताब एे,मरने दा इक शब्द है
127,6 Then you have to build them in a few more years.,फिरी तुसां जो  उना जो कुछ हौर सालां च बनाना हुंगा।,6 फिरी तिन्हां जो कुछ होर साल्लां च बनाणा पौणा।
128,with a stick.,ल्हौन्ट लेई के च्हफदा चलया।,छड़के ने
129,Let 's solve it,एह नि दिदि कदी बि धोखा,चला इसदा हल करी लेया
130,251. Do not break your promise.,मता मत खा।,तुसां जो क्या करना चाअंदा।
131,Shadow at eight o'clock,ठंडा किती पाणी,अठ बजे छाया
132,I have been privileged to be the regional president of the All India Writers and Journalists Association.,ऑल इंडिया राइटर्स ऐंड जर्नलिस्ट एसोसिएशन  दा प्रदेशाध्यक्ष रहणे दा सौभाग्य मिली चुक्केया।,अखिल भारतीय लेखक एवं पत्रकार संघ दे क्षेत्रीय अध्यक्ष बणने दा मेरा सौभाग्य होया ।
133,Stars shining in the empty blue sky,झल्वांदिआ सुगंधी बहारा खे।,खाली नीले आसमान पर तारे चमकदे
134,I charge a fine of 10 dollars to each person here and to myself.,मै एथू मौजूद हर बंदे पर कने अपु पर भी दस डॉलर जुर्माना लगाया है।,मैं इत्थु हर आदमी पर दस डॉलर दा जुर्माना लगान्दा कने अप्पु पर।
135,"But in memory, everyone",लेकिन यादां विच ही सबनाजो,अपर मेमोरी च सारेयां दी
136,"And that they should have a pot of water to fill them with,","इनां व्हाल भंड्या कनै पाणी भरने तांईं भनेतड़ी हन,",कने तिन्हां जो पाणिएं दा इक घड़ा मिलणा चाहिदा
137,Now we have three more cases.,हुण फ़िरी त्रै केस मिली गये,हुण असां दे थ्रीं केस हो गये
138,"And plunge into the depths, then beware.",डरावणे मगरमच्छा री झम्याला चआई के,"कने गहिराईयां च डुब्बी जा, फिरी सतर्क रेह"
139,484. Stopped after school in Chicago.,483.मुझे पॉपकॉर्न बहुत पसंद है।,483.मैं एक नर्स हूं।
140,"And make thy heart soft, O humble man!",कऊं बैर-विरोधो रे यो घड़े भरूरे,कनै दिल नरम कर ओ दीन आदमी
141,"The boy said, 'This chick is spitting '",परना चुक्किया तां खिचड़ी चौंण लगो,"मुंड्डु बोल्या, एह कुक्कड़ थूक्की दा है"
142,The Afghan army had a large contingent across the Indus River.,सिंधु नदि दे उस पार अफगानी सेनां  दा जमाबडा लगया था।,सिंधु नदिया दे पार अफगान सेना दा इक बडा टुकड़ा था।
