Hindi,English
जब तक हम पढ़ेगे नहीं तब तक ऐसे ही काम करने पढ़ेगे।,We will learn to do the same thing until we learn.
मेरा छोटा भाई पढ़ाई में होशियार है।,My younger brother is very good at studying.
उसे तो पिता जी भी काम करने के लिए नहीं कहते।,Even my father does not ask him to work.
वह हर बार अपनी कक्षा में पहले स्थान पर रहता है।,He always sits first in his class.
पिता जी को उसके ऊपर बड़ा गर्व है।,My father is very proud of him.
"हाँ भाई, मेरी छोटी बहन भी लगातार सालों से अपनी कक्षा में पहले स्थान पर आ रही है।","Yes brother, my younger sister has been ranked first in her class for years."
उसकी इस मेहनत के कारण पिता जी की पूरे स्कूल में अच्छी जान-पहचान है।,"Because of his hard work, Dad is well known throughout the school."
अब तो मैंने भी मन बना लिया है कि इस बार खूब मेहनत करूँगा और अच्छे नम्बर लेकर पास हूँगा।,I have decided to work hard and get good marks this time.
क्योंकि सारी उम्र घर का यह भारी काम नहीं होता।,Because all ages are not such heavy household chores.
"अगर पढ़ेंगे तभी आगे चलकर अपनी भी समाज में अच्छी इज्जत, मान होगा।","If you read, you will have a good reputation in your society."
अनपढ़ से तो कोई अपनी लड़की की शादी भी नहीं करवाता है।,No one even marries his daughter unreadly.
ठीक है दोस्त. आज हम प्रण लेते हैं कि हम खूब पढ़ाई करेंगे और अपने मास्टर की हर बात को मानेंगे।,"All right, my friend. Today we vow to study hard and to obey everything our master says."
"क्योंकि हम पढ़ेंगे, तभी तो देश आगे बढ़ेगा।",Because we will read and then the country will move forward.
"तो ठीक है, फिर मिलेंगे।","So, well, see you later."
"जब मैं अस्पताल पहुँची, तो डॉक्टर उसकी जांच कर रहे थे।","When I arrived at the hospital, the doctors were examining her."
बाहर खड़ी हुई उसकी चचेरी सास ने मुझसे कहा कि मैं भी अन्दर जाऊँ।,Her cousin - in - law - standing outside told me to go inside.
वह चाहती थी कि लज्या की हालत के बारे में पूरी-पूरी जानकारी मिले।,She wanted to know the full details of Lasiya 's condition.
"उसका घरवाला साथ ही था पर (लेकिन) उसको बड़ा आलतू-फालतू बोलने की आदत है, ऊपर से समझ भी उतनी सी ही है।","Her husband was with her, but she is a foolish speaker, and so is the understanding."
"पिछली रात यह इनके साथ आई थी पर इतने से समय में ही, जी भर कर बोर हो गई।","She came with them last night but in such a short time, she got bored."
मैं उसकी बात मानकर अन्दर गई।,I obeyed him and went inside.
"गाँव के रोगियों के मुकाबले में मेरा थोड़ा साफ-सुथरा पहनना-ओढ़ना और मुँह मुहावरा देखते हुए, सुनते हुए, लज्या की बीमारी की दुखदाई सच्चाई, डॉक्टर ने थोड़ी-थोड़ी सी मुझे समझाई।","My clean dress and my mouth - expression in front of the villagers, my hearing, the sad truth of the disease of shame, the doctor explained to me little by little."
"उसके अनुसार, वह बहुत पहले से ठीक नहीं रह रही होगी।","According to her, she must not have been well for a long time."
अभी की हालत यह है कि दोनों गुर्दों में खराबी पड़ गई।,The current condition is that both kidneys have become impaired.
"मन मनवाने के मुताबिक साधारण जैसा उपचार घर में रह कर करते रहें,","Keep the usual treatment at home as you please,"
इनके लिए यही ठीक रहेगा।,That will be fine for them.
"डॉक्टर ने यह सुझाब, लज्या के घरवाले की खराब हालत का अनुमान लगाते हुए की दिया होगा।","The doctor may have suggested this, estimating the poor condition of the wife of Lasiya."
पर मैं जानती थी कि यह आदमी इलाज करवा सकता है।,But I knew that this man could cure.
नहर के काम पर पक्का बेलदार है।,The canal is certainly well - equipped.
जगह-जमीन भी काफी है।,The land is also sufficient.
इसलिए मैंने पूछा कि अब कोई गुंजाईश  है ही नहीं क्या ?,So I asked if there was any scope now.
तब थोड़ा हौंसला बंधाते हुए बोला कि खून साफ करवाना पड़ेगा सप्ताह में दो बार।,"Then he said, with a little encouragement, that he would have to get cleaned twice a week."
फिर हो सके तो गुर्दा बदलवाने की सलाह किसी बड़े अस्पताल में लेकर देखना।,"If possible, take the kidney transplant to a large hospital."
"आज ही यहाँ से छुट्टी लेकर घर पहुँच जाओ, और कल सुबह चण्डीगढ़, पी.जी.आई. अस्पताल में ले जाओ इसे।","Take a leave from here today and get home, and take it to the PGI hospital in Chandigarh tomorrow morning."
मैंने कहा।,I said.
दोनों ने मेरी बात मंजूर की।,Both agreed with me.
मैंने अपने पति को फोन किया कि इनके जाने के लिए गाड़ी का इन्तजाम कर दो।,I called my husband to arrange for a car to take them.
लज्या को सीट पर बिठा रहे थे कि उसका पुत्र आ पहुँचा।,"As they were sitting on the seat, his son came."
ताया जी क्या हुआ था माँ को ?,What happened to my mother?
उसने समझा कि उसकी माँ ठीक होकर घर जा रही है।,He realized that his mother was going home well.
इस के गुर्दे काम नहीं करते हैं।,Its kidneys do not work.
मेरे पति ने निकलती दाड़ी मूछ वाले कच्ची उम्र के लड़के की तरफ देखे बगैर बोले।,My husband spoke without looking at the raw old boy with the bearded moustache.
इस वजह  क्या होता है ?,What causes this?
"उन्होंने उसे बाहों में ले लिया, पर जवाब नहीं दे सके।","They took her in their arms, but could not answer."
शौचादि जाने में मुश्किल होती थोड़ी और कुछ नहीं होता।,"It is difficult to go to the toilet, and nothing else."
लड़के के पिता ने कहा तो ऐसी उदासी में भी मेरे ओठों पर हँसी आ गई।,"The boy 's father said, ""I laughed at the sadness of this."
यह नादानगी ठीक है।,This is a good thing.
मैंने सोचा।,I thought.
"आँखें मूंदी, लगभग सारा भार सास पर डाल कर बेहोश थी लज्या।","She was unconscious, laying almost all the weight on her breath."
सीट पर टिके हुए उसके बाएं हाथ पर मैंने हाथ रखा तो जरा सी चेतन हुई वह।,I put my hand on her left hand while she was sitting in the seat and she was a little conscious.
इलाज जरा लम्बा चलेगा पर ठीक हो जाओगी तुम।,"The treatment will take a while, but you will be fine."
"घड़ी भर मेरी तरफ देखकर,बिना हामी भरे आँखें मूंद ली उसने।","He stared at me for an hour, without blinking his eyes."
"उस एक घड़ी मुझे वह, बड़ी सजग और सब कुछ जानती-बूझती लगी।",At that moment I felt that she was very conscious and all - knowing.
"सच्च में यह लज्या इतनी सीधी नहीं है, जितनी दिखाई दे रही है।","In fact, this shame is not as straightforward as it seems."
"मेरी तरफ उठी उसकी नजर, किसी सर्वज्ञानी तपस्वी के जैसे लगी मुझे।","He looked at me, and I felt like a monk."
"बड़ी दुःखी होती हो तुम, इतनी-इतनी बातों को","You are so sad, you know, for so many things."
"खैर, सर्वज्ञानी है या तपस्विनी।","Well, all-knowing or devout."
यह तो मैं नहीं जानता।,I don't know.
पर सीधी-सच्ची बात कहने वाली हिम्मती औरत जरूर है।,But there must be a brave woman to tell the truth.
क्या कह रहे हो ?,What are you saying?
कभी बोलते हुए तो मैंने सुना नहीं उसको।,I never heard him speak.
"बोलना तो छोड़ो अपने घरवाले की फालतू चबड़-चबड़ सुनते हुए, नजर उठाकर चुपचाप से एहसान मारते हुए भी नहीं देखा ?","Have you not seen your husband's vain murmurings, and his eyes raised, and he was quietly pleading?"
"नारी मरती है आन्दोलनों के परपंच पढ़ते और सुनते हुए,",Women die reading and listening to the movements.
"हिम्मत का अर्थ, जोर-जोर से बोलने, नाम को उछालने और बिना बातों के पतियों के नाक में दम देकर रखने तक सूख गया तेरे लिए।","Courage means speaking out loud, bouncing names and putting breath in the nose of unspoken husbands."
"यह कुछ ज्यादा ही नाराज लगे तो मैंने नरम होकर पूछा - आपके मुताबिक हिम्मत क्या है, जरा सुनाना भला ?","It was a little bit more annoying, so I asked softly, ""What do you think is courage, please?"""
"एकदम ही, प्रवचन देने वाले की रंगत में आ गए - और स्वाभिमान अपना होना ही जब खतरे में हो,","Suddenly, they came to the color of the preacher -- and to have self-respect when in danger,"
"तब किसी की मन्नत फिजूल है, विरोध स्वांग से (दिखावटी) रोना, कमजोरी है।","Then one 's vow is a feeble one, protesting with a swang is a weakness."
उस वक्त अपने हक में एक फैसला सुना देना होता है।,"At that time, a decision must be made in his favour."
यही हिम्मत है।,That's courage.
लज्या ने सुनाया था ऐसा फैसला ?,Did Lasiya pronounce such a decision?
मुझे लगा कुछ बात तो है।,I thought there was something.
"हाँ! जब इसका विवाह हुआ, तो इसके ससुर को मरे हुए कई साल हो गए थे।","Yes, when she got married, her father - in - law had been dead for many years."
"उन दिनों में प्रीतो, इसका चाचा-ससुर ही घर में प्रधान था।","In those days, Prieto, his uncle and mother - in - law were the head of the household."
शरीर से हट्टा-कट्टा पर मन से कोमल-कमजोर।,Soft - soft - soft - soft - soft on the body.
कामुक इतना  कि गाँव में किसी लड़के की बारात में नहीं गया।,So sexy that he didn 't go to the village boy 's bar.
रात को छिप कर औरतों का गिद्दा (नृत्य) देखने के लालच के लिए।,To lust at the night to see the female pedicure.
सुन्दर- लड़का कुंवारा ऊपर से आधी जायदाद का मालिक भी।,The beautiful boy is also the owner of half the property.
"इसकी सास, कभी देवर का हुक्का नहीं थी बुझने देती।",Its breath never let the hook of the deer go out.
तू खैर नहीं जानती ।,You don't know.
"जानती हूँ! लम्बरदारिन चाची ने, दान्त से चद्दर काटते हुए, दिखाया था","I know! The lambard's aunt, cutting the cotton with her teeth, showed me"
एक दिन कि लज्या का छोटा देवर प्रीतो का ही पुत्र है ।,"One day , Lasiya 's little god is the son of Prito ."
हाँ! लोग तो यही कहते हैं।,"Yes, that's what people say."
क्या खबर सच्च ही कहते हों।,What news is true.
मरने से पहले पांच-छः साल इसका ससुर बिस्तर पर ही रहा।,"For five or six years before his death, his father - in - law was in bed."
"तब घर, प्रीतो ही चलाता था।","At that time, Prito was the owner of the house."
बिजली की स्फूर्ति जैसे काम करता और बड़े चाव से करता था।,It worked like a flash of electricity and worked with great taste.
"उसके बैलों की जोड़ी देखने, आस-पड़ोस के गाँव के लोग आते थे।",People from the neighbouring village came to see his pair of oxen.
"पेड़ पर पत्तों की डालियों को काटने को चढ़ता था तो डाल पर बैठकर,","He climbed the tree to cut the leaves of the tree and sat on the branch,"
पंचम स्वर मे झंझोटी (लम्बे स्वर वाला राग विशेष) छेड़ देता।,"In the fifth chord, the jingzoti (long chorded rag special) would be played."
राह चलते हुए लोग सुनने खड़े हो जाते।,"As they walked along, people would stop and listen."
प्रीतो का गाना ज्यादा ही लम्बा था हो रहा।,Prito 's song was too long.
प्रीतो तुम्हारी नजर में नग (बेकार) आदमी है?,Is Prito a naked man in your eyes?
नहीं। पर एक जिन्दगी बहुत बड़ी होती है।,No. But a life is a lot.
"आदमी उसके जीते जी, कई कुछ जी लेता है।","Man lives by his means, many things live by."
कई बार विरुद्ध लगती बातें भी।,Sometimes things seem to be opposite.
"हमारे-आपके अनुमानों, अनुभवों और फैसलों के घेरे अन्दर ही नहीं है जीवन, बाहर भी होता है।","Life is not only within our - your estimates, experiences and decisions, but also outside."
खैर बाहर ही ज्यादा होता हो।,"Well, it's more out there."
आप लज्या की बात थे कर रहे?,You were embarrassed?
मैंने फिर टोका।,I did it again.
"हाँ, विवाह के करीब माह या डेढ़ माह बाद इस लज्या ने,","Yes, about a month or a month and a half after the wedding, this woman,"
"हमारे पिता, तीन बुजुर्ग और गाँव के प्रधान को,","Our father, three elders and the village chief,"
सांझ के समय अपने घर बुलाया।,called home at evening.
"पिता साल दो साल के लिए, यह किस्सा सिलसिलेबार माँ के आगे दोहराते थे।","For two years, the father repeated this story before his mother."
"कमरे में बाण (रस्सी विशेष) के बुने हुए, दो आमने-सामने लगाई हुई चारपाईयों पर चद्दर विछाकर, सभी को मानपूर्वक बिठाया।","He sat down with respect, placing the beds on two facing posts, weaving arrows in the room."
"स्वयं, जमीन पर पड़े हुए भूसे के ऊपर बिछि हुई दरी पर, सास को लेकर बैठ गई।","She herself, lying on the ground, sat down on the floor, taking her mother - in - law."
भीतरी कमरे के खुलते दरवाजे पर ही खड़ा हुआ रह गया पति।,The husband was standing at the door of the inner room.
लज्या ने घूंघट हटाया और कमरे के बीचो-बीच खड़ी हो गई।,Lasiya removed her blindfold and stood in the middle of the room.
थर-थर कांप रहा था उसका शरीर।,His body was shaking.
पर आवाज एकदम बेपरवाह ।,But the sound is completely indifferent.
आपकी हाजिरी (उपस्थिति) में मैं इस गाँव में वधू बनकर आई थी।,In your presence I came to this village as a bride.
यह लाया था।,It was brought.
"(घरवाले की तरफ अंगुली करते हुए बोली) सेहरा बांधकर, ढोल-बाजों के साथ लाया था।",(Taking her finger to the owner of the house) had brought the sehr with the drummers.
इस घर में दो मर्द हैं।,There are two men in this house.
"एक आपके साथ बैठा हुआ है अधबूढ़ा (अधेड़),","One sitting with you, half-aged,"
"मेरे घरवाले का चाचा, और दूसरा मेरा घरवाला।","My husband's uncle, and my husband's uncle."
मुझे बताया जाए कि मैं किसके साथ विवाह का धर्म निभाऊँ।,Let me be told with whom I should practice the religion of marriage.
पागल हुई है बदजात।,"You are crazy, you bastard."
"मुझे बताओ तो, क्या बात है।",Tell me what's going on.
दरवाजे पर खड़ा हुआ शेर गरजा।,The lion standing at the door roared.
तुम से बहुत बातें कर लीं।,I talked to you a lot.
और बहुत कुछ तुम्हें बता लिया।,And I told you a lot.
(सक्खती से रोकती हुई बोली) आज इनके साथ करने दो बात।,(Sighs) Two things to do with them today.
प्रधान की तरफ मुड़ी फिर- आपका हुक्म (आदेश) मानना है मैंने।,Turning to the chief again - I obey your order.
पर रहना एक की होकर।,But to be one.
"चाहे इस नामर्द की, चाहे इस जोरावर (ताकतवर)  की।",Whether it be this bastard or this mighty one.
"(घृणा से देखा प्रीतो को) पर रहूँगी मैं ऐसे कि एक के साथ रहते हुए,","(Hatred to Prito) I will live on as if I were living with one,"
"दूसरा मुझे छूना तो दूर, तिरछी नजरों से देखेगा भी नहीं।","The other will not even look at me with distant, slanted eyes."
अपनी बात खत्म करके उसने मुँह पर घूंघट डाल लिया और दीवार के साथ पीठ लगा कर बैठ गई।,She finished her speech and put a cloth on her mouth and sat down with her back against the wall.
"सास, चद्दर से मुँह ढक कर अन्दर घुस गई।","The mother - in - law, covered her face with sheets, went inside."
प्रधान सिपाहियों के साथ प्रीतो को बाहर ले गाय।,Take Prito out with the chief soldiers.
मुड़कर अन्दर आए तो प्रीतो ने अपनी पगड़ी वधू के पैरों पर रख दी।,"Turning inside, Prito placed his bag at the bride 's feet."
"सच्च में, ऐसा हुआ था ?",Did that really happen?
पर वे कई सालों से एक ही घर में इक्कट्ठे रह रहे थे।,But they had been living together in the same house for many years.
"हाँ! लज्या के साथ जो कुछ हुआ,","Yes! What happened to Lasha,"
वह उसे मुद्दा बनाने की हालत में नहीं थी।,She was not in a position to make him an issue.
गरीब घर की बेटी थी।,She was the daughter of a poor household.
ससुराल के घर में रहना था उसने।,She was to live in the house of her mother - in - law.
पर अपनी शर्तों पर रहना था।,But I had to live up to my terms.
"दो दोस्त, राम और श्याम एक दिन बगीचे में गेंद से खेल रहे थे।","Two friends, Ram and Shyam, were playing ball in the garden one day."
"बगीचा बहुत हरा-भरा था, और उसी बगीचे में एक जामुन का पेड़ और एक तरबूज की बेल थी।","The garden was very green, and in the same garden there was a berry tree and a cucumber berry."
राम और श्याम बड़ी ही मस्ती में खेल रहे थे।,Ram and Shyam were playing in a great fun.
खेलते-खेलते राम ने गेंद को बहुत ऊँचा उछाल दिया।,"As he played, Ram gave the ball a very high bounce."
"उसके बाद उनकी गेंद न जाने कहाँ गुम हो गई,","Then his ball went missing,"
वे उसे ढूंढने में लग गए।,They went to find him.
गेंद को ढूंढते-ढूंढते राम ने जमीन पर बिछी हुई तरबूज की बेल और एक जामुन के पेड़ को देखा।,"While searching for the ball, Ram saw a tambourine tree and a berry tree lying on the ground."
जामुन के पेड़ पर खूब सारे काले-काले जामुन लगे हुए थे।,There were many black and black berries on the fruit tree.
राम ने श्याम को आवाज लगाई और जामुन के गुच्छे दिखाने लगा।,Ram voiced Shyam and began to show him the bunches of berries.
"राम ने श्याम से कहा- देखो श्याम कितने काले और मीठे जामुन लगे हैं,","Ram said to Shyam - Look how black and sweet berries Shyam has,"
पर हम तोड़ भी नहीं सकते।,But we can 't break it.
कितना ऊँचा पेड़ है।,How tall is the tree.
"प्रकृति की भी खूव रचना है, छोटे से जामुन को तो इतने ऊँचे पेड़ पर लगा दिया,","Nature is also so beautiful, so small berries are planted on such high trees."
और बड़े से तरबूज को नीचे जमीन पर!,And the big turmeric down on the ground!
अचानक जामुन के पेड़ से एक जामुन टूटकर राम के सिर पर गिर गया।,Suddenly a berry fell on Ram 's head from the fruit tree.
राम छटाक से उछल पड़ा।,Ram jumped from the shade.
कितना अच्छा होता अगर जामुन जमीन पर लगे होते ?,How good would it be if berries were planted on the ground?
